month,business,buschange,government,govchange,eduhealth,ehchange,hospitality,hchange,other,otherchange,ttu,ttuchange,finance,fchange,information,ichange,mlc,mlcchange,manufacturing,mchange,dcjobs,dcjobchangea,dcworkforcea,dcemployeda,dcunemployeda,dcunemploymenta,dcpop,dcparticipation,dcemployedratio,dcworkforce,dcemployed,dcunemployed,dcunemployment,dvjobs,dvjobchange,dvworkforce,dvemployed,dvunemployed,dvunemployment,vjobs,vjobchange,vworkforce,vemployed,vunemployed,vunemployment,dvbusiness,dvbchange,dvgov,dvgovchange,mjobs,mjobchange,mworkfoce,memployed,munemployed,munemployment,dmvjobs,dmvjobchange,dmvworkforce,dmvemployed,dmvunemployed,dmvunemployment,mvjobs,mvjobschange,mvworkforce,mvemployed,mvunemployed,mvunemployment,dcopenjobrate,dcopenings,dcleaves,dchires,dcnewjobs,smjobs,smworkforce,smemployed,smunemployed,smunemployment,vajobs,vaworkforce,vaemployed,vaunemployed,vaunemployment,smjobportion,nmjobportion,dcjobportion,vajobportion,smworkportion,nmworkportion,dcworkportion,vaworkportion
Nov-22,175000,100,235300,-300,122800,100,72800,1900,68100,500,30800,100,27800,200,21000,100,15200,-100,1000,0,769800,2600,387879,371498,16381,4.2,551389,70,67.2,386175,370463,15712,4.1,2763100,15700,2742405,2663040,79365,2.9,1993300,13100,2356230,2292577,63653,2.7,671900,-500,614700,4800,600700,4400,680802,663972,16830,2.5,3363800,20100,3423207,3327012,96195,2.8,2594000,17500,3037032,2956549,80483,2.7,4.7,40000,20000,21000,1000,414600,633075,614469,18606,2.9,1578700,1723155,1678108,45047,2.6,12.33,17.86,22.88,46.93,18.47,19.96,11.14,50.44
Dec-22,174500,-500,234500,-800,123100,300,74000,1200,68300,200,30600,-200,27900,100,21100,100,15200,0,1000,0,770200,400,388214,371865,16349,4.2,551770,70.1,67.2,386520,370787,15733,4.1,2754700,-8400,2742908,2671571,71337,2.6,1984500,-8800,2356388,2300784,55604,2.4,668900,-3000,611200,-3500,601200,500,679884,664983,14901,2.2,3355900,-7900,3422792,3336554,86238,2.5,2585700,-8300,3036272,2965767,70505,2.3,5.5,39000,23000,17000,-6000,415200,632652,615991,16661,2.6,1569300,1723736,1684793,38943,2.3,12.37,17.91,22.95,46.76,18.46,19.93,11.11,50.50
Jan-23,174600,100,234200,-300,122500,-600,74300,300,68600,300,30700,100,27600,-300,21000,-100,15100,-100,1000,0,769600,-600,389168,371846,17322,4.5,552167,71.2,67.7,392894,373602,19292,4.9,2715800,-38900,2759718,2672011,87707,3.2,1946200,-38300,2366824,2298409,68415,2.9,664800,-4100,606500,-4700,592500,-8700,684052,667371,16681,2.4,3308300,-47600,3443770,3339382,104388,3.0,2538700,-47000,3050876,2965780,85096,2.8,5.8,48000,27000,22000,-5000,402200,630728,611237,19491,3.1,1544000,1736096,1687172,48924,2.8,12.16,17.91,23.26,46.67,18.30,19.98,11.19,50.52
Feb-23,174000,-600,234600,400,123700,1200,75500,1200,68300,-300,30600,-100,27800,200,20900,-100,15100,0,1000,0,771500,1900,389688,371531,18157,4.7,552521,71,67.5,392256,373060,19196,4.9,2726900,11100,2777996,2695070,82926,3.0,1955400,9200,2385740,2322010,63730,2.7,667400,2600,613400,6900,596000,3500,688141,669876,18265,2.7,3322900,14600,3466137,3364946,101191,2.9,2551400,12700,3073881,2991886,81995,2.7,5.6,38000,24000,21000,-3000,406600,634654,614833,19821,3.1,1548800,1751086,1707177,43909,2.5,12.24,17.94,23.22,46.61,18.27,19.91,11.09,50.73
Mar-23,174700,700,234300,-300,123500,-200,75900,400,68800,500,30300,-300,28300,500,20800,-100,15500,400,1000,0,773100,1600,390485,371613,18872,4.8,552868,70.9,67.3,391796,371942,19854,5.1,2743000,16100,2809285,2729459,79826,2.8,1969900,14500,2417489,2357517,59972,2.5,670600,3200,612500,-900,596800,800,694541,680696,13845,2.0,3339800,16900,3503826,3410155,93671,2.7,2566700,15300,3112030,3038213,73817,2.4,4.8,46000,19000,25000,6000,408200,640904,625496,15408,2.4,1561700,1776585,1732021,44564,2.5,12.22,17.87,23.15,46.76,18.34,19.96,10.91,50.79
Apr-23,174400,-300,234700,400,122800,-700,75500,-400,69600,800,30200,-100,28100,-200,20800,0,15600,100,1000,0,772700,-400,390815,371381,19434,5.0,553229,69.9,66.7,386532,369245,17287,4.5,2751600,8600,2794988,2726172,68816,2.5,1978900,9000,2408456,2356927,51529,2.1,668700,-1900,613800,1300,599500,2700,691180,680064,11116,1.6,3351100,11300,3486168,3406236,79932,2.3,2578400,11700,3099636,3036991,62645,2.0,5.6,42000,20000,23000,3000,413500,635895,623468,12427,2,1565400,1772561,1733459,39102,2.2,12.34,17.89,23.06,46.71,18.30,19.97,10.84,50.89
May-23,174700,300,234900,200,123700,900,76600,1100,70300,700,30200,0,28400,300,20900,100,15600,0,1000,0,776300,3600,391919,372065,19854,5.1,553657,70.7,67.2,391285,372169,19116,4.9,2766300,14700,2816892,2740543,76349,2.7,1990000,11100,2425607,2368374,57233,2.4,670600,1900,616900,3100,601400,1900,691450,677817,13633,2.0,3367700,16600,3508342,3418360,89982,2.6,2591400,13000,3117057,3046191,70866,2.3,4.9,40000,27000,28000,1000,414400,634696,620211,14485,2.3,1575600,1790911,1748163,42748,2.4,12.31,17.86,23.05,46.79,18.14,19.83,10.89,51.14
Jun-23,175200,500,234200,-700,124800,1100,77500,900,69900,-400,30300,100,28400,0,21200,300,15300,-300,1000,0,777800,1500,392470,372601,19869,5.1,554073,71.3,67.4,394821,373174,21647,5.5,2788300,22000,2837373,2759366,78007,2.7,2010500,20500,2442552,2386192,56360,2.3,676700,6100,615100,-1800,604000,2600,693378,683015,10363,1.5,3392300,24600,3530751,3442381,88370,2.5,2614500,23100,3135930,3069207,66723,2.1,5.4,44000,26000,31000,5000,412400,636214,625276,10938,1.7,1598100,1806338,1760916,45422,2.5,12.16,17.81,22.93,47.11,18.16,19.84,10.84,51.15
Jul-23,174700,-500,234400,200,123900,-900,76200,-1300,69800,-100,30500,200,28500,100,21200,0,15400,100,1000,0,775600,-2200,392647,373079,19568,5.0,554524,72.1,68.3,399680,378532,21148,5.3,2774800,-13500,2857797,2782622,75175,2.6,1999200,-11300,2458117,2404090,54027,2.2,675800,-900,600600,-14500,600900,-3100,698402,687502,10900,1.6,3375700,-16600,3556199,3470124,86075,2.4,2600100,-14400,3156519,3091592,64927,2.1,5.1,48000,29000,33000,4000,414100,646820,635466,11354,1.8,1585100,1811297,1768624,42673,2.4,12.27,17.80,22.98,46.96,18.31,19.81,10.91,50.97
Aug-23,174400,-300,234800,400,124900,1000,76300,100,70000,200,30500,0,28400,-100,21400,200,15500,100,1000,0,777200,1600,393221,373704,19517,5.0,554931,71.3,67.3,395592,373715,21877,5.5,2766800,-8000,2833927,2751871,82056,2.9,1989600,-9600,2438335,2378156,60179,2.5,674000,-1800,594500,-6100,602200,1300,691044,679886,11158,1.6,3369000,-6700,3524971,3431757,93214,2.6,2591800,-8300,3129379,3058042,71337,2.3,5.1,,,,,417000,639766,627955,11811,1.8,1572600,1798569,1750201,48368,2.7,12.38,17.87,23.07,46.68,18.30,19.81,10.89,51.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
